"","Economic","Environment","wantPossible","unityDifferences","lawsPeople","ownAll","pCongress","pBusiness","tCongress","tBusiness","Change","LGBT","mLeft","mRight"
"652",83.3160976711795,8.31609767117946,100,0,2,0,84.1216229103707,52.3078622044744,28.3783796671275,50.1119162585284,88.0991465067692,4,1,5
"653",83.7179406575772,7.62871525824173,76,82,94,92,62.2017642957908,48.165192265162,40.0025916196836,41.5262000118778,88.2754413967352,4,5,5
"654",8.2671334308865,6.53595445361377,100,100,100,0,46.095186291319,46.7255447850083,32.0481647144664,47.3986943562825,50,4,8,8
"655",6.05834082733812,3.55834082733813,96,95,100,100,57.9391891891892,70.874683277027,18.4121621621622,78.1381967905405,93.0263601618705,1,1,3
"656",72.4162544964029,17.4162544964029,71,96,97,0,83.1081081081081,48.5773859797297,11.6554054054054,82.8679265202703,50.2588241906475,3,5,8
"657",89.152687048993,8.0110266098079,100,96,100,100,NA,NA,49.5715698132783,NA,89.7430581346234,4,1,7
"658",31.6901260788145,26.0291732869767,84,53,53,2,61.2769649951336,26.3549972650442,NA,NA,56.0946836378521,2,2,4
"659",32.7941464005614,32.2998093186523,100,47,51,0,33.3772148404803,19.6406069256011,47.0550389516921,14.5262945265997,48.9753877173224,4,1,7
"660",87.7573166334744,4.30028112013731,100,100,0,100,86.2420525779206,87.2459585570733,14.4603071881829,10.9396242453191,52.6707346563491,2,1,7
"661",4.22156025179857,3.59656025179856,98,98,100,98,73.6486486486486,65.9760346283784,9.7972972972973,24.5908994932432,6.40315872302159,2,7,7
"662",6.70586812373716,6.07693730612709,100,100,100,0,68.4404481132076,34.3799135220126,64.3523977987421,54.1912342767296,49.3617134807479,4,1,7
"663",3.94350955812195,5.79536865083433,100,100,100,0,65.4630946604435,56.476409349938,21.693315791321,74.3655008340624,83.7803054627755,1,5,5
"664",1.57093075539569,1.57093075539568,100,100,100,0,56.25,63.1044130067568,10.3040540540541,44.8611697635135,0.539568345323737,4,3,4
"665",6.06733363309352,6.06733363309352,26,21,92,93,74.6621621621622,91.820629222973,40.3716216216216,48.5773859797297,51.1940759892086,3,7,7
"666",6.83933805742907,5.58147642220894,92,51,100,0,77.8744103773585,49.4742531446541,18.7549135220126,70.8579009433962,34.9242117020974,2,4,4
"667",9.28183844494587,9.15546169686084,100,100,100,2,27.5549592528646,64.3509052207921,30.6604835280257,72.562618366536,87.3959253375692,5,1,2
"669",80.0677383859746,7.08793269971754,98,100,0,0,17.4232569607821,3.91315691398852,17.6757841399222,45.0747750022195,52.5143389181973,3,7,7
"670",92.0392676113746,3.6471853726656,0,100,100,100,NA,NA,NA,76.3710294990023,11.0482095151712,4,4,4
"671",82.6655371118872,6.73960677080238,22,51,17,55,70.6597460640801,11.0011577606201,31.2154134114583,65.0753418604533,21.1097725018866,1,1,3
"672",8.49089478417266,7.24089478417266,100,0,100,0,7.93918918918919,52.124683277027,6.58783783783784,39.4557643581081,100,5,1,7
"673",39.1118546480209,11.8940590159186,98,100,81,31,16.2803043018688,68.654440388535,27.1882057189941,85.172109892874,47.0301565735829,3,5,7
"674",0.0424776740988952,5.33050639113992,0,100,100,5,NA,NA,NA,NA,49.8014915347604,4,4,4
"675",31.9666142086331,31.9666142086331,100,50,50,50,83.9545309847199,52.2694715619694,NA,86.7346668081494,96.7471335431655,4,2,5
"676",72.0167762315376,13.5262101938018,95,8,99,14,45.4844732704402,41.6126179245283,14.9813286163522,42.2415487421384,75.2211574034548,4,3,4
"677",11.3878862118639,9.16565286344133,92,88,16,91,NA,70.4456064436171,57.6967583762275,37.2974508338504,47.9602960907025,5,2,7
"678",35.3524055755396,1.60240557553957,49,34,34,77,78.5472972972973,41.820629222973,20.945945945946,64.7936021959459,6.55940872302159,4,7,8
"679",79.8349587606625,11.0785840439038,80,90,NA,NA,22.688553583261,36.9424384248481,17.0862050523591,NA,49.9023154825401,3,4,5
"680",4.53546537769784,3.28546537769784,100,100,100,0,60.472972972973,54.4895481418919,21.7905405405405,38.4422508445946,94.775320368705,5,4,4
"681",40.2829507383207,39.0773103092536,67,43,57,56,NA,70.6756804647114,NA,64.4945288043492,50.458128565796,4,1,7
